time_hours,P_fail_ITER_like,P_fail_STEP_like
0.0,0.0,0.0
0.5,1.7366589215841953e-05,3.2400882126889196e-05
1.0,4.290439159285067e-05,9.855558980874398e-05
1.5,7.077488632962109e-05,0.0001773717178469308
2.0,9.9311757693556e-05,0.00026093961809293926
2.5,0.00012803943820491198,0.00034629317230957905
3.0,0.00015682220004742045,0.00043232008346302575
3.5,0.00018562130544930652,0.0005186032362458036
4.0,0.0002144256972013467,0.0006049862079578378
4.5,0.00024323221750405285,0.0006914103353989262
5.0,0.00027203996210787304,0.0007778536150856011
5.5,0.00030084866851272596,0.0008643077908862134
6.0,0.00032965825525387325,0.0009507697619054494
6.5,0.0003584686893554166,0.0010372383604494067
7.0,0.00038727994691401603,0.0011237131437657959
7.5,0.0004160919994688779,0.0012101939409478405
8.0,0.00044490480654182045,0.0012966806830238078
8.5,0.0004737183081547986,0.0013831733392408638
9.0,0.00050253241466654,0.0014696718931716867
9.5,0.0005313469918335201,0.0015561763337545774
10.0,0.000560161838493878,0.001642686651933607
10.5,0.0005889766531273659,0.0017292028393987788
11.0,0.0006177909837165489,0.00181572488811369
11.5,0.0006466041525620038,0.0019022527901385012
12.0,0.0006754151435378041,0.001988786537563649
12.5,0.0007042224330230778,0.002075326122485084
13.0,0.0007330237363716414,0.0021618715369950774
13.5,0.0007618156277248181,0.002248422773178873
14.0,0.000790592969893169,0.002334979823113521
14.5,0.0008193480594227788,0.0024215426788675326
15.0,0.0008480693445601213,0.0025081113325008436
15.5,0.0008767395027473668,0.00259468577606489
16.0,0.0009053325576871274,0.0026812660016027265
16.5,0.0009338095561719032,0.002767852001149156
17.0,0.0009621120851762304,0.0028544437667308714
17.5,0.0009901525502660786,0.0029410412903665903
18.0,0.001017799597368531,0.0030276445640671935
18.5,0.0010448562516579124,0.003114253579835861
19.0,0.001071027135229727,0.003200868329668208
19.5,0.001095869307624693,0.003287488805552417
20.0,0.0011187185476285043,0.003374114999469371
20.5,0.0011385788074830456,0.0034607469033927844
21.0,0.0011539564414571235,0.0035473845092893314
21.5,0.0011626116195632078,0.0036340278091187782
22.0,0.0011611855543932387,0.003720676794834103
22.5,0.0011446415007179528,0.003807331458381628
23.0,0.001105426493836177,0.00389399179170114
23.5,0.0010322143154220993,0.0039806577867260145
24.0,0.0009080204796279871,0.004067329435383338
24.5,0.0007073755180063092,0.004154006729594025
25.0,0.00039208611520053855,0.004240689661272946
25.5,0.0,0.004327378222329033
26.0,0.0,0.004414072404665404
26.5,0.0,0.00450077220017948
27.0,0.0,0.004587477600763092
27.5,0.0,0.0046741885983026
28.0,0.0,0.004760905184679005
28.5,0.0,0.004847627351768057
29.0,0.0,0.004934355091440362
29.5,0.0,0.005021088395561498
30.0,0.0,0.005107827255992117
30.5,0.0,0.0051945716645880515
31.0,0.0,0.005281321613200421
31.5,0.0,0.005368077093675736
32.0,0.0,0.005454838097856
32.5,0.0,0.005541604617578811
33.0,0.0,0.005628376644677464
33.5,0.0,0.005715154170981046
34.0,0.0,0.005801937188314544
34.5,0.0,0.00588872568849893
35.0,0.0,0.005975519663351269
35.5,0.0,0.0060623191046848095
36.0,0.0,0.006149124004309077
36.5,0.0,0.006235934354029968
37.0,0.0,0.00632275014564985
37.5,0.0,0.006409571370967638
38.0,0.0,0.0064963980217788994
38.5,0.0,0.0065832300898759355
39.0,0.0,0.006670067567047874
39.5,0.0,0.006756910445080759
40.0,0.0,0.006843758715757629
40.5,0.0,0.006930612370858615
41.0,0.0,0.007017471402161012
41.5,0.0,0.0071043358014393765
42.0,0.0,0.0071912055604656
42.5,0.0,0.007278080671008996
43.0,0.0,0.007364961124836384
43.5,0.0,0.007451846913712165
44.0,0.0,0.0075387380293983975
44.5,0.0,0.007625634463654894
45.0,0.0,0.007712536208239276
45.5,0.0,0.007799443254907069
46.0,0.0,0.007886355595411777
46.5,0.0,0.007973273221504939
47.0,0.0,0.008060196124936239
47.5,0.0,0.008147124297453543
48.0,0.0,0.008234057730803003
48.5,0.0,0.008320996416729102
49.0,0.0,0.008407940346974755
49.5,0.0,0.008494889513281353
50.0,0.0,0.008581843907388852
50.5,0.0,0.008668803521035834
51.0,0.0,0.008755768345959576
51.5,0.0,0.008842738373896122
52.0,0.0,0.008929713596580346
52.5,0.0,0.009016694005746024
53.0,0.0,0.00910367959312589
53.5,0.0,0.00919067035045172
54.0,0.0,0.009277666269454369
54.5,0.0,0.00936466734186386
55.0,0.0,0.009451673559409436
55.5,0.0,0.009538684913819621
56.0,0.0,0.009625701396822292
56.5,0.0,0.009712723000144726
57.0,0.0,0.009799749715513666
57.5,0.0,0.009886781534655387
58.0,0.0,0.009973818449295752
58.5,0.0,0.010060860451160263
59.0,0.0,0.010147907531974129
59.5,0.0,0.01023495968346232
60.0,0.0,0.01032201689734962
60.5,0.0,0.01040907916536069
61.0,0.0,0.010496146479220118
61.5,0.0,0.010583218830652476
62.0,0.0,0.010670296211382373
62.5,0.0,0.010757378613134515
